User country,Score,Traveler type,Pool,Casino,Hotel name,Review month
UK,5,Couples,YES,YES,The Venetian Las Vegas Hotel,August
UK,5,Couples,YES,YES,The Venetian Las Vegas Hotel,September
UK,5,Couples,YES,YES,The Venetian Las Vegas Hotel,September
Brazil,5,Couples,YES,YES,The Venetian Las Vegas Hotel,October
UK,4,Couples,YES,YES,The Venetian Las Vegas Hotel,October
Switzerland,5,Friends,YES,YES,The Venetian Las Vegas Hotel,November
Australia,5,Couples,YES,YES,The Venetian Las Vegas Hotel,November
Singapore,5,Families,YES,YES,The Venetian Las Vegas Hotel,December
USA,4,Couples,YES,YES,The Venetian Las Vegas Hotel,December
Australia,4,Solo,YES,YES,Bellagio Las Vegas,January
USA,5,Families,YES,YES,Bellagio Las Vegas,January
USA,4,Couples,YES,YES,Bellagio Las Vegas,February
USA,5,Business,YES,YES,Bellagio Las Vegas,February
India,5,Couples,YES,YES,Bellagio Las Vegas,March
USA,2,Business,YES,YES,Bellagio Las Vegas,March
Ireland,5,Business,YES,YES,Bellagio Las Vegas,April
Spain,2,Families,YES,YES,Bellagio Las Vegas,April
UK,3,Friends,YES,YES,Bellagio Las Vegas,May
UK,5,Couples,YES,YES,Bellagio Las Vegas,May
UK,5,Families,YES,YES,Bellagio Las Vegas,June
USA,4,Business,YES,YES,Bellagio Las Vegas,June
USA,5,Couples,YES,YES,Bellagio Las Vegas,July
Korea,4,Families,YES,YES,Bellagio Las Vegas,July
USA,4,Solo,YES,YES,Bellagio Las Vegas,August
Scotland,5,Families,YES,YES,Bellagio Las Vegas,August
Ireland,5,Couples,YES,YES,Bellagio Las Vegas,September
USA,4,Business,YES,YES,Bellagio Las Vegas,September
UK,5,Couples,YES,YES,Bellagio Las Vegas,October
UK,4,Couples,YES,YES,Bellagio Las Vegas,October
UK,5,Friends,YES,YES,Bellagio Las Vegas,November
Canada,5,Friends,YES,YES,Bellagio Las Vegas,November
India,4,Business,YES,YES,Bellagio Las Vegas,December
Malaysia,2,Families,YES,YES,Bellagio Las Vegas,December
USA,4,Couples,YES,YES,Paris Las Vegas,January
Canada,5,Couples,YES,YES,Paris Las Vegas,January
USA,2,Couples,YES,YES,Paris Las Vegas,February
USA,4,Friends,YES,YES,Paris Las Vegas,February
USA,2,Couples,YES,YES,Paris Las Vegas,March
USA,5,Couples,YES,YES,Paris Las Vegas,March
USA,4,Business,YES,YES,Paris Las Vegas,April
Canada,3,Friends,YES,YES,Paris Las Vegas,April
USA,5,Friends,YES,YES,Paris Las Vegas,May
USA,3,Couples,YES,YES,Paris Las Vegas,May
Australia,5,Couples,YES,YES,Paris Las Vegas,June
Costa Rica,3,Couples,YES,YES,Paris Las Vegas,June
USA,4,Couples,YES,YES,Paris Las Vegas,July
UK,4,Families,YES,YES,Paris Las Vegas,July
Egypt,5,Families,YES,YES,Paris Las Vegas,August
USA,5,Couples,YES,YES,Paris Las Vegas,August
USA,4,Couples,YES,YES,Paris Las Vegas,September
Canada,5,Couples,YES,YES,Paris Las Vegas,September
Canada,2,Couples,YES,YES,Paris Las Vegas,October
USA,5,Couples,YES,YES,Paris Las Vegas,October
USA,4,Couples,YES,YES,Paris Las Vegas,November
USA,5,Couples,YES,YES,Paris Las Vegas,November
Canada,5,Couples,YES,YES,Paris Las Vegas,December
USA,4,Friends,YES,YES,Paris Las Vegas,December
Canada,4,Couples,YES,YES,The Westin las Vegas Hotel Casino & Spa,January
USA,3,Families,YES,YES,The Westin las Vegas Hotel Casino & Spa,January
Italy,4,Solo,YES,YES,The Westin las Vegas Hotel Casino & Spa,February
USA,3,Couples,YES,YES,The Westin las Vegas Hotel Casino & Spa,February
USA,5,Business,YES,YES,The Westin las Vegas Hotel Casino & Spa,March
USA,5,Friends,YES,YES,The Westin las Vegas Hotel Casino & Spa,March
USA,4,Business,YES,YES,The Westin las Vegas Hotel Casino & Spa,April
Egypt,4,Solo,YES,YES,The Westin las Vegas Hotel Casino & Spa,April
USA,3,Friends,YES,YES,The Westin las Vegas Hotel Casino & Spa,May
USA,4,Couples,YES,YES,The Westin las Vegas Hotel Casino & Spa,May
USA,4,Solo,YES,YES,The Westin las Vegas Hotel Casino & Spa,June
USA,3,Business,YES,YES,The Westin las Vegas Hotel Casino & Spa,June
India,4,Families,YES,YES,The Westin las Vegas Hotel Casino & Spa,July
USA,5,Couples,YES,YES,The Westin las Vegas Hotel Casino & Spa,July
USA,3,Families,YES,YES,The Westin las Vegas Hotel Casino & Spa,August
USA,4,Couples,YES,YES,The Westin las Vegas Hotel Casino & Spa,August
USA,5,Solo,YES,YES,The Westin las Vegas Hotel Casino & Spa,September
USA,3,Couples,YES,YES,The Westin las Vegas Hotel Casino & Spa,September
UK,5,Couples,YES,YES,The Westin las Vegas Hotel Casino & Spa,October
UK,5,Couples,YES,YES,The Westin las Vegas Hotel Casino & Spa,October
Canada,4,Couples,YES,YES,The Westin las Vegas Hotel Casino & Spa,November
USA,4,Friends,YES,YES,The Westin las Vegas Hotel Casino & Spa,November
USA,2,Families,YES,YES,The Westin las Vegas Hotel Casino & Spa,December
USA,4,Families,YES,YES,The Westin las Vegas Hotel Casino & Spa,December
